EventId,Content,Time,Date,Pid,Level,Component,EventTemplate,BlockId
E5,Receiving block blk_-3102267849859399193 src: /10.251.215.50:58322 dest: /10.251.215.50:50010,203533,81109,147,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-3102267849859399193
E5,Receiving block blk_-3102267849859399193 src: /10.251.215.50:51482 dest: /10.251.215.50:50010,203533,81109,148,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-3102267849859399193
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000249_0/part-00249. blk_-3102267849859399193,203533,81109,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-3102267849859399193
E7,writeBlock blk_-3102267849859399193 received exception java.net.SocketTimeoutException,203633,81109,147,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-3102267849859399193
E11,PacketResponder 2 for block blk_-3102267849859399193 terminating,203634,81109,190,INFO,dfs.DataNode$PacketResponder,PacketResponder <*> for block <*> terminating,blk_-3102267849859399193
E10,PacketResponder blk_-3102267849859399193 2 Exception java.io.EOFException,203634,81109,190,INFO,dfs.DataNode$PacketResponder,PacketResponder <*> <*> Exception <*>,blk_-3102267849859399193
E14,Exception in receiveBlock for block blk_-3102267849859399193 java.io.IOException: Connection reset by peer,204731,81109,148,INFO,dfs.DataNode$BlockReceiver,Exception in receiveBlock for block <*> <*>,blk_-3102267849859399193
E7,writeBlock blk_-3102267849859399193 received exception java.io.IOException: Connection reset by peer,204731,81109,148,INFO,dfs.DataNode$DataXceiver,writeBlock <*> received exception <*>,blk_-3102267849859399193
E5,Receiving block blk_-5087939924532795057 src: /10.251.202.181:49239 dest: /10.251.202.181:50010,203810,81109,256,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_-5087939924532795057
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000028_0/part-00028. blk_-5087939924532795057,203810,81109,26,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_-5087939924532795057
E5,Receiving block blk_188682839063125077 src: /10.251.197.226:44230 dest: /10.251.197.226:50010,203816,81109,330,INFO,dfs.DataNode$DataXceiver,Receiving block <*> src: /<*> dest: /<*>,blk_188682839063125077
E22,BLOCK* NameSystem.allocateBlock: /user/root/rand/_temporary/_task_200811092030_0001_m_000259_0/part-00259. blk_188682839063125077,203816,81109,33,INFO,dfs.FSNamesystem,BLOCK* NameSystem.allocateBlock:<*>,blk_188682839063125077
