session_id,anomaly_score,critical_event,critical_count,example_log,all_events
2,0.9979127601467175,E13,3,Receiving empty packet for block blk_-3842070622043972712,"['E22', 'E5', 'E5', 'E5', 'E26', 'E13', 'E13', 'E13', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9']"
3,0.0187395415226962,E5,1,Receiving block blk_-4845663345676718484 src: /10.251.126.83:46323 dest: /10.251.126.83:50010,"['E22', 'E5']"
4,0.993016487946026,E7,1,writeBlock blk_7648436334209344608 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
8,0.993016487946026,E7,1,writeBlock blk_-6877696701654867296 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
9,0.9914541671286227,E18,1,10.251.90.64:50010 Starting thread to transfer block blk_3057845822257859655 to 10.251.75.79:50010,"['E22', 'E5', 'E5', 'E26', 'E5', 'E11', 'E9', 'E11', 'E9', 'E25', 'E26', 'E11', 'E9', 'E26', 'E18', 'E26', 'E6', 'E5', 'E16', 'E21']"
10,0.0187395415226962,E5,1,Receiving block blk_1968107584907454835 src: /10.250.10.213:34852 dest: /10.250.10.213:50010,"['E22', 'E5']"
14,0.9914541671286227,E18,1,10.251.42.16:50010 Starting thread to transfer block blk_-730360888507267446 to 10.251.66.63:50010,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E25', 'E26', 'E18', 'E5', 'E26', 'E16', 'E6', 'E21']"
19,0.9914541671286227,E18,1,10.251.127.47:50010 Starting thread to transfer block blk_349284099419601276 to 10.251.126.22:50010,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E18', 'E25', 'E5', 'E26', 'E16', 'E6', 'E26', 'E21']"
22,0.0187395415226962,E5,1,Receiving block blk_-2243172307206444839 src: /10.251.107.242:48880 dest: /10.251.107.242:50010,"['E22', 'E5']"
23,0.993016487946026,E7,1,writeBlock blk_-3068938607837722121 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
24,0.993016487946026,E7,1,writeBlock blk_6006300655294348209 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
26,0.993016487946026,E7,1,writeBlock blk_-2806392838173367292 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
27,0.0187395415226962,E5,1,Receiving block blk_25023618081021823 src: /10.251.122.79:52165 dest: /10.251.122.79:50010,"['E22', 'E5']"
29,0.993016487946026,E7,1,writeBlock blk_-1780565608686923167 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
31,0.993016487946026,E7,1,writeBlock blk_-9136899640657293877 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
36,0.993016487946026,E7,1,writeBlock blk_-5304178986508314412 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
40,0.0187395415226962,E5,1,Receiving block blk_188682839063125077 src: /10.251.197.226:44230 dest: /10.251.197.226:50010,"['E5', 'E22']"
41,0.0187395415226962,E5,1,Receiving block blk_-2720637654072551626 src: /10.250.19.227:45757 dest: /10.250.19.227:50010,"['E22', 'E5']"
43,0.0187395415226962,E5,1,Receiving block blk_1907193123990348590 src: /10.250.11.53:42095 dest: /10.250.11.53:50010,"['E22', 'E5']"
45,0.993016487946026,E7,1,writeBlock blk_591782491993940359 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
49,0.0187395415226962,E5,1,Receiving block blk_3662628695837082582 src: /10.250.14.143:40285 dest: /10.250.14.143:50010,"['E22', 'E5']"
50,0.0187395415226962,E5,1,Receiving block blk_2299327360406878240 src: /10.251.90.134:40788 dest: /10.251.90.134:50010,"['E22', 'E5']"
54,0.993016487946026,E7,1,writeBlock blk_1324709291391680362 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
56,0.993016487946026,E7,1,writeBlock blk_-4112386892632996202 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
57,0.993016487946026,E7,1,writeBlock blk_7819129300327159896 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
58,0.993016487946026,E7,1,writeBlock blk_-8840533539329242262 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
60,0.0187395415226962,E5,1,Receiving block blk_2468439833353548974 src: /10.250.6.191:46718 dest: /10.250.6.191:50010,"['E22', 'E5']"
61,0.993016487946026,E7,1,writeBlock blk_-30639162771126691 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
62,0.993016487946026,E7,1,writeBlock blk_7745330378458307842 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
63,0.993016487946026,E7,1,writeBlock blk_-4000271277927010782 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
64,0.993016487946026,E7,1,writeBlock blk_-4712584287845875396 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
67,0.0187395415226962,E5,1,Receiving block blk_-50592998855094089 src: /10.251.111.209:47450 dest: /10.251.111.209:50010,"['E22', 'E5']"
69,0.993016487946026,E7,1,writeBlock blk_1344575558593443180 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
73,0.0187395415226962,E5,1,Receiving block blk_7813615865800609642 src: /10.251.125.174:36655 dest: /10.251.125.174:50010,"['E22', 'E5']"
76,0.0187395415226962,E5,1,Receiving block blk_-6148165469951190736 src: /10.251.203.149:59525 dest: /10.251.203.149:50010,"['E22', 'E5']"
78,0.993016487946026,E7,1,writeBlock blk_3447884879668134874 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
79,0.0187395415226962,E5,1,Receiving block blk_809602586563834919 src: /10.251.194.102:50580 dest: /10.251.194.102:50010,"['E22', 'E5']"
82,0.993016487946026,E7,1,writeBlock blk_-3000203287955847711 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
83,0.9914541671286227,E18,1,10.251.199.225:50010 Starting thread to transfer block blk_3584224065406961324 to 10.251.203.179:50010,"['E22', 'E5', 'E5', 'E5', 'E25', 'E26', 'E26', 'E26', 'E11', 'E9', 'E11', 'E9', 'E11', 'E9', 'E18', 'E26', 'E6', 'E5', 'E16', 'E21']"
84,0.9979127601467175,E13,3,Receiving empty packet for block blk_8993243400688409735,"['E22', 'E5', 'E5', 'E5', 'E26', 'E26', 'E26', 'E13', 'E11', 'E9', 'E13', 'E11', 'E9', 'E13', 'E11', 'E9']"
85,0.993016487946026,E7,1,writeBlock blk_7976374953602198954 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
86,0.0187395415226962,E5,1,Receiving block blk_7231490463136154050 src: /10.251.199.225:34388 dest: /10.251.199.225:50010,"['E22', 'E5']"
87,0.0187395415226962,E5,1,Receiving block blk_8201117867106038775 src: /10.251.214.175:44955 dest: /10.251.214.175:50010,"['E22', 'E5']"
88,0.993016487946026,E7,1,writeBlock blk_-2195201456641508025 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
89,0.993016487946026,E7,1,writeBlock blk_-1188841150645918532 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
92,0.993016487946026,E7,1,writeBlock blk_4797010597622047462 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
96,0.0187395415226962,E5,1,Receiving block blk_-7044024876920809411 src: /10.251.203.149:37745 dest: /10.251.203.149:50010,"['E22', 'E5']"
97,0.993016487946026,E7,1,writeBlock blk_-3048100091565287612 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
101,0.993016487946026,E7,1,writeBlock blk_-487160497666132 received exception java.io.IOException: Could not read from stream,"['E22', 'E5', 'E5', 'E7']"
102,0.0187395415226962,E5,1,Receiving block blk_-8497592682221017946 src: /10.251.123.99:32967 dest: /10.251.123.99:50010,"['E22', 'E5']"
