EventId,EventTemplate,Occurrences
dc2c74b7,PacketResponder <*> for block <*> terminating,67
5d5de21c,BLOCK* NameSystem.addStoredBlock: blockMap updated: <*> is added to <*> size <*>,59
e3df2680,Received block <*> of size <*> from <*>,62
09a53393,Receiving block <*> src: <*> dest: <*>,42
3d91fa85,BLOCK* NameSystem.allocateBlock: <*> <*>,26
32777b38,Verification succeeded for <*>,4
c0a9fd05,Deleting block <*> file /mnt/hadoop/dfs/data/current/subdir5/<*>,1
626085d5,<*> Served block <*> to <*>,13
81cee340,<*>Got exception while serving <*> to <*>,25
d63ef163,BLOCK* NameSystem.delete: <*> is added to invalidSet of <*>,1
